avg_monthly_balance,total_deposits,total_withdrawals,overdraft_frequency,salary_deposits,gold_assets,property_value,vehicle_ownership,fixed_deposits,guarantor_exists,utility_bill_consistency,upi_transaction_count,wallet_transactions,gst_filing_status,age,employment_type,location,loan_approved,rental_agreement,has_children,education_fees_paid,transaction_type,deposit_to_fixed_ratio
52319,73178,343007,0,1,2562,134332,1,262004,0,98,526,303,0,49,1,2,0,1,0,0,1,0.27930001335852367
107431,326482,47462,2,1,3819,7260679,1,377413,1,88,984,448,2,33,0,2,0,1,0,0,0,0.8650500511374777
142985,178002,492352,0,1,2618,3534144,0,10094,0,56,205,405,0,43,0,2,0,0,1,399790,1,17.632689450222884
67315,156271,252749,0,0,2783,2837967,0,207829,1,57,635,32,0,27,0,2,1,0,0,0,1,0.751917432516961
37560,403977,263562,2,1,1014,9732340,0,45351,1,62,640,403,0,57,0,2,0,0,0,0,0,8.907589521961546
89988,263329,361278,0,0,1250,4958492,0,296965,1,50,806,25,1,27,0,1,1,0,0,0,1,0.8867311409386933
110459,30517,340156,1,1,4945,3317788,1,479617,1,78,180,213,1,41,0,0,0,0,1,128628,1,0.063627720394147
89463,393682,347993,1,1,253,844560,1,177074,1,64,82,273,2,55,1,2,1,1,0,0,0,2.2232500352957785
158544,110288,179938,1,1,781,5724498,0,474563,1,80,931,105,2,23,1,1,0,0,0,0,1,0.2323985805918696
114688,72958,146022,4,1,4650,1189341,1,123307,1,83,449,177,2,50,0,2,1,0,1,152960,1,0.5916728841599896
37696,367343,235081,3,1,2680,2892860,0,38234,1,63,290,241,0,42,1,1,0,1,0,0,0,9.607506211586243
128664,436378,161814,3,0,1967,8588291,0,73057,1,52,671,109,0,47,1,0,0,0,1,253872,0,5.973035122779161
27031,351280,166565,3,0,1020,3809145,0,488330,1,58,448,363,1,26,2,0,0,1,1,285260,0,0.7193481470559927
28343,123448,213425,2,0,2635,3202716,0,250987,0,59,15,432,2,40,0,1,0,1,1,55120,1,0.491848215850957
183472,465396,458595,0,1,3023,4898041,1,48306,1,73,577,162,0,58,2,2,1,0,1,23745,0,9.63413169933964
151495,467738,420351,3,1,458,4726859,1,143374,1,51,620,64,1,27,2,1,1,0,1,288084,0,3.2623400174367916
179679,149297,82620,4,0,3674,599385,1,36047,1,95,347,381,1,36,2,0,0,1,1,207802,0,4.141616733244563
181834,462858,414242,4,1,1438,6447075,1,312521,1,63,501,182,1,24,0,1,0,0,0,0,0,1.4810413346900377
52975,65865,260419,1,1,4484,508938,1,162247,0,63,592,199,0,50,1,1,1,0,0,0,1,0.4059526157487303
190462,46842,174151,3,1,1354,5509973,1,292743,0,61,597,303,0,26,0,1,1,0,1,21990,1,0.16001011122345804
138188,192804,29453,3,1,696,4843436,1,101210,0,90,236,185,0,44,1,1,0,0,0,0,0,1.904970803568782
46993,48603,143157,2,1,2812,1899627,0,127314,0,60,376,317,0,40,1,2,0,0,1,467337,1,0.38175391744884735
134802,379777,195872,1,1,3715,1935717,0,413616,1,89,801,7,0,54,0,2,0,0,1,144433,0,0.918185180976604
94596,55550,128605,2,1,2312,5452198,1,187172,0,91,83,397,1,22,1,1,1,0,1,141362,1,0.29678425841333955
87074,77414,268223,4,1,2384,6511361,0,405774,1,82,136,188,1,25,0,2,0,1,1,279738,1,0.19078060501509458
27962,478557,439403,2,1,2335,4614834,1,3254,0,51,80,446,0,41,0,1,1,1,0,0,0,147.0221198156682
6261,356311,127118,1,0,4427,9917075,1,336858,0,68,370,31,0,49,1,1,1,0,0,0,0,1.0577452287158722
71817,81077,316981,3,1,1874,5764472,1,46067,0,90,0,408,0,29,1,1,0,1,1,308468,1,1.7599418251280716
89090,54730,287558,2,1,3541,8016126,1,236282,0,81,688,330,0,50,0,0,0,0,0,0,1,0.23162902113143985
89598,313561,245005,2,0,2115,2047880,1,415745,0,76,246,376,0,38,0,0,0,0,1,474991,0,0.7542129088433803
124784,380406,275410,0,1,668,788931,0,228869,1,56,169,419,1,49,0,1,1,0,1,46089,0,1.6621051251802332
65985,191902,438549,2,0,2397,7294629,0,180888,0,61,92,343,0,51,1,1,0,0,1,31518,1,1.0608826407354786
30049,391263,428782,1,1,766,7412010,0,40172,1,55,203,412,1,42,0,1,0,0,1,306092,1,9.739451870659398
